company,client,nb_avis_client,date_commande,notes,titre_commentaire,commentaire,date_commentaire,reponse_sav,date_reponse_sav,delai_reponse_sav
Marionnaud,Aude MAMOU,2,2023-12-18,1,Commande annulée sans la moindre explication,"Commande réalisée pendant le Black Friday, avec une réduction de 30% annoncée, livraison prévue vers le 6 décembre. Le 16 décembre, toujours rien reçu donc je téléphone au service client, on me certifie que je recevrai ma commande pour Noël. 2 jours après, je reçois un mail qui m’annonce, sans la moindre explication: « commande annulée » ! Quelle honte ! À fuir ! Marionnaud ne respecte pas ses propres offres commerciales !!!",2023-12-19,,,
Marionnaud,Justine,1,2023-12-19,1,"Incapable d assurer les stocks, pas commerçants, fuyez !","Commande passée le 5 décembre, le 14 j envois un mail on me dit on met tout en œuvre pas de soucis pour vos cadeaux de noel. 2 jours plus tard, commande partiellement envoyés remboursement pour le 2eme parfum. Ils ont même le culot de déduire les points fidélités et de retirer les échantillons 😅 sûrement pour me dédommager de leur retard 😂 la prochaine fois je saurai où ne pas aller…",2023-12-19,,,
Marionnaud,Jerome,8,2023-12-18,5,Commande et livraison rapide.Parfum…,"Commande et livraison rapide.Parfum conforme à la commande, pas de soucis",2023-12-24,,,
Marionnaud,GuiGui,1,2023-12-21,1,Annulation commande sans motif 10 jours plus tard,"Commande passée le 11 decembre pour un cadeau de noel.  Statut en cours de préparation. Réception d'un mail ce 20 décembre (presque 10 jours après le passage de la commande) à 20h30 : ""Annulation de commande"" sans plus d'explication. Le produit est toujours en stock et il peut toujours être commandé mais 13% plus cher.",2023-12-21,,,
Marionnaud,Fabienne Feigna,1,2023-12-07,1,Ma commande de Noel,On me bassine toute la journée avec des mails et des publicités et marionnaud n’est pas fichu de livrer ma commande de Noël ! Une honte de ne pas avoir anticipé un gros flux de commande. Commande passée le 7 décembre ! C0mmande 1223651487. Alors pour rester cliente je vais passer ma commande avec livraison 1h en magasin mais pour cela je veux obtenir le même prix que ma commande du 7 décembre soit un code promo de 10 euros que vous pouvez m’envoyer par mail. Je compte sur votre réactivité.,2023-12-21,"Bonjour Fabienne,Nous n’avons pas été en mesure d’expédier votre commande, et regrettons sincèrement d’avoir été obligés de l’annuler.Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.Si vous aviez payé par carte bancaire, nous tenons à vous préciser que votre compte bancaire n’a pas été prélevé, la capture de paiement se faisant uniquement à l’expédition.Dans le cas où vous aviez réglé tout ou partie de votre commande en carte cadeau Marionnaud, en carte Illicado ou en chèque fidélité, le remboursement a bien été réalisé via les différents moyens de paiement utilisés.Belle journée Cordialement Paul, de l'équipe Marionnaud",2023-12-21 15:52:30+00:00,0.0
Marionnaud,Angel-ik Vlie,3,2023-11-09,5,Commande expédiée rapidement et…,Commande expédiée rapidement et conforme à ce que j’ai payé.,2023-12-23,,,
Marionnaud,Manal,3,2023-12-19,1,Commande non reçu,Commande numéro 1229023379 non reçu. Impossible de contacter le service client par mail ou téléphone malgré plusieurs essais.J’espère être remboursé au plus vite car c’est du VOL !!,2023-12-21,,,
Marionnaud,Mireille Cheruel,4,2023-11-01,1,pas sérieux,"j'ai commandé chez Marionnaud le mois dernier, ils m'ont fait patienter un mois et demi, malgré mes nombreux appels et mails, avant d'annuler ma commande sans explications. C'est fini je ne commanderai plus jamais chez eux. Ils sont à bannir.",2023-12-19,,,
Marionnaud,Alexandra Devos,1,2023-12-18,1,Publicité mensongère,"Publicité mensongère. Une grosse réduction certes, mais au final obligation d'aller acheter à Sephora plus cher.  Commande passée le 1er décembre, toujours pas livré le 15. Mail pour rassurer du retard suite à une réclamation et 3 jours plus tard mail reçu avec annulation de la commande à une semaine de Noël. Enseigne pas sérieux et service clientèle zéro. Je n'y retournerai plus jamais.",2023-12-18,,,
Marionnaud,christiane boussichas,12,2023-11-14,4,c'est un produit que je prends depuis…,c'est un produit que je prends depuis des années là j'ai voulu profiter du blackfriday mais le prix est plus élevé que dans d'autres parfumeries,2023-12-14,,,
